state,d,phi,a,margin,D_sec,viability,SRR
attack-heavy,0.0,0.005,0.3081,0.044,12.4,RECOVERABLE,10.4
noise-heavy,0.1295,0.005,0.0541,0.0468,13.2,IRRECOVERABLE,inf
