margin_lo,margin_hi,n,risk_close,risk_far,D_median
0.0,0.024999999999999998,993,0.6881287726358148,0.4415322580645161,5.117574535250281
0.024999999999999998,0.049999999999999996,2896,0.2914364640883978,0.15331491712707182,11.315694717232837
0.049999999999999996,0.075,4051,0.1209279368213228,0.08641975308641975,18.081532490351897
0.075,0.09999999999999999,3863,0.07298136645962733,0.046090108751942,25.245048324928145
0.09999999999999999,0.12499999999999999,3620,0.05359116022099448,0.023204419889502764,32.60620256293349
0.12499999999999999,0.15,2852,0.02314165497896213,0.011220196353436185,39.625041441373824
0.15,0.175,2188,0.019195612431444242,0.010054844606946984,47.18619356460143
0.175,0.19999999999999998,1813,0.015435501653803748,0.006622516556291391,54.57013058041105
0.19999999999999998,0.22499999999999998,1533,0.03129074315514994,0.014360313315926894,61.96831830655635
0.22499999999999998,0.24999999999999997,1222,0.06382978723404255,0.029459901800327332,69.35404288577394
0.24999999999999997,0.27499999999999997,1200,0.06333333333333334,0.028333333333333332,76.35203013618278
0.27499999999999997,0.3,1144,0.06293706293706294,0.03671328671328671,83.45325828202309
0.3,0.32499999999999996,1303,0.03067484662576687,0.015360983102918587,91.16382663161967
0.32499999999999996,0.35,1574,0.016518424396442185,0.043202033036848796,99.10689301385983
